PdmarticleID;ExternalKey;ParentID;ProductLevel;show_in_2024
30681;IACEP13500020;25133;Item;yes
30684;IACEP25500020;25133;Item;yes
30685;IACEP19500020;25133;Item;yes
30689;IACEP32500020;25133;Item;yes
30677;IACEP06500620;25134;Item;yes
30679;IACEP25500620;25134;Item;yes
30683;IACEP19500620;25134;Item;yes
30692;IACEP32500620;25134;Item;yes
31744;IACEP09500620;25134;Item;yes
31745;IACEP13500620;25134;Item;yes
28303;IULDB13500000;21368;Item;yes
28327;IULDB25500000;21368;Item;yes
27555;IULDB03500000;21368;Item;yes
27589;IULDB09500000;21368;Item;yes
30500;IULDB06500000;21368;Item;yes
30501;IULDB32500000;21368;Item;yes
33396;IULDB19500009;21368;Item;yes
27552;IULDB06500600;21369;Item;yes
27559;IULDB03500600;21369;Item;yes
27586;IULDB09500600;21369;Item;yes
27621;IULDB13500600;21369;Item;yes
27656;IULDB25500600;21369;Item;yes
27670;IULDB32500600;21369;Item;yes
33398;IULDB19500609;21369;Item;yes
28320;IULDB00900000;21370;Item;yes
31225;IESIA00900835;27953;Item;yes
22248;IAXPR16006000;18463;Item;yes
22249;IAXPR16008000;18463;Item;yes
22250;IAXPR19010000;18463;Item;yes
22251;IAXPR19012000;18463;Item;yes
22252;IAXPR19015000;18463;Item;yes
22253;IAXPR20016000;18463;Item;yes
22255;IAXPR20018000;18463;Item;yes
22256;IAXPR20020000;18463;Item;yes
22257;IAXPR20022000;18463;Item;yes
22258;IAXPR20025000;18463;Item;yes
22259;IAXPR25028000;18463;Item;yes
22260;IAXPR25032000;18463;Item;yes
22261;IAXPR25035000;18463;Item;yes
22262;IAXPR25040000;18463;Item;yes
22263;IAXPR25042000;18463;Item;yes
22264;IAXPR25048000;18463;Item;yes
22265;IAXPR25050000;18463;Item;yes
22266;IAXPR25054000;18463;Item;yes
22267;IAXPR25060000;18463;Item;yes
22268;IAXPR25063000;18463;Item;yes
22269;IAXPR25076000;18463;Item;yes
22270;IAXPR25089000;18463;Item;yes
22247;IAXPR13500000;21439;Item;yes
27089;IESSO06025000;24333;Item;yes
27091;IESSO04020000;24333;Item;yes
27092;IESSO06020000;24333;Item;yes
27094;IESSO04025000;24333;Item;yes
27096;IESSO04016000;24333;Item;yes
27099;IESSO06016000;24333;Item;yes
27095;IESSO08018000;24335;Item;yes
27103;IESSO08015000;24335;Item;yes
27098;IESSO08025000;24336;Item;yes
27100;IESSO08016000;24336;Item;yes
27106;IESSO08020000;24336;Item;yes
24514;IADEA09600000;21443;Item;yes
24517;IADEA13600000;21443;Item;yes
24520;IADEA25600000;21443;Item;yes
24524;IADEA19600000;21443;Item;yes
24516;IADEA19600600;21444;Item;yes
24518;IADEA13600600;21444;Item;yes
24521;IADEA09600600;21444;Item;yes
24523;IADEA25600600;21444;Item;yes
30793;IADEA32600600;21444;Item;yes
23284;IADEL13600000;21445;Item;yes
23280;IADEL19600000;21445;Item;yes
23276;IADEL25600000;21445;Item;yes
23282;IADEL19500000;21445;Item;yes
23287;IADEL09600000;21445;Item;yes
23315;IADEL32600000;21445;Item;yes
23279;IADEL19600600;21446;Item;yes
23275;IADEL25600600;21446;Item;yes
23285;IADEL13500600;21446;Item;yes
23281;IADEL19500600;21446;Item;yes
23286;IADEL09600600;21446;Item;yes
23277;IADEL25500600;21446;Item;yes
23283;IADEL13600600;21446;Item;yes
23297;IADEL06500600;21446;Item;yes
23298;IADEL09500600;21446;Item;yes
23317;IADEL40500600;21446;Item;yes
23314;IADEL32500600;21446;Item;yes
23316;IADEL32600600;21446;Item;yes
24479;IADBA13600000;24129;Item;yes
24480;IADBA19600000;24129;Item;yes
24485;IADBA09600000;24129;Item;yes
28081;IADBA32600000;24129;Item;yes
28086;IADBA25600000;24129;Item;yes
23039;IADBA32600600;21447;Item;yes
23040;IADBA25600600;21447;Item;yes
23041;IADBA19600600;21447;Item;yes
23042;IADBA13600600;21447;Item;yes
23043;IADBA09600600;21447;Item;yes
23155;IADBA06600600;21447;Item;yes
28082;IADBL25500000;24130;Item;yes
28088;IADBL40500000;24130;Item;yes
28090;IADBL32500000;24130;Item;yes
30770;IADBL09500000;24130;Item;yes
30773;IADBL19500000;24130;Item;yes
30790;IADBL13500000;24130;Item;yes
30767;IADBL09500600;21448;Item;yes
30769;IADBL13500600;21448;Item;yes
30779;IADBL32500600;21448;Item;yes
30782;IADBL25500600;21448;Item;yes
30783;IADBL40500600;21448;Item;yes
30789;IADBL19500600;21448;Item;yes
29740;INHSM06500000;20840;Item;yes
29754;INHSM03500000;20840;Item;yes
29757;INHSM10500000;20840;Item;yes
29786;INHSM19500000;20840;Item;yes
29798;INHSM25500000;20840;Item;yes
29834;INHSM32500000;20840;Item;yes
30587;INHSM13500000;20840;Item;yes
29735;INHSM06500600;20841;Item;yes
29749;INHSM03500600;20841;Item;yes
29756;INHSM10500600;20841;Item;yes
29762;INHSM13500600;20841;Item;yes
29795;INHSM19500600;20841;Item;yes
29821;INHSM32500600;20841;Item;yes
30590;INHSM25500600;20841;Item;yes
30495;INHSM00900000;20842;Item;yes
30028;IPSTC00000000;20510;Item;yes
20600;ITDAR00900050;20506;Item;yes
20601;ITDAR00900100;20506;Item;yes
31660;ITARW00900050;20507;Item;yes
21742;ISFCTZ0060000;20538;Item;yes
21744;ISFCTZ0100000;20538;Item;yes
21745;ISFCTZ0120000;20538;Item;yes
21746;ISFCTZ0160000;20538;Item;yes
21747;ISFCTZ0190000;20538;Item;yes
21752;ISFZ006020000;33020;Item;yes
21755;ISFZ010018000;33020;Item;yes
21758;ISFZ012016000;33020;Item;yes
21761;ISFZ016014000;33020;Item;yes
21764;ISFZ019012000;33020;Item;yes
21546;ISTDT00900502;20498;Item;yes
21547;ISTDT00900506;20498;Item;yes
21063;ITDAA00950653;20498;Item;yes
21061;ITDAA00900051;20542;Item;yes
28445;IMFSR20064000;30515;Item;yes
28446;IMFSR30048000;30515;Item;yes
28447;IMFSR30028000;30515;Item;yes
28449;IMFSR50114000;30515;Item;yes
29587;IMFSR20018000;30515;Item;yes
29591;IMFSR20015000;30515;Item;yes
29592;IMFSR00159000;30515;Item;yes
29596;IMFSR00219000;30515;Item;yes
29597;IMFSR00133000;30515;Item;yes
29599;IMFSR20022000;30515;Item;yes
29601;IMFSR00089000;30515;Item;yes
29602;IMFSR00168000;30515;Item;yes
29604;IMFSR20028000;30515;Item;yes
29606;IMFSR25035000;30515;Item;yes
29607;IMFSR00114000;30515;Item;yes
29608;IMFSR20076000;30515;Item;yes
29609;IMFSR25022000;30515;Item;yes
29610;IMFSR30015000;30515;Item;yes
29611;IMFSR00108000;30515;Item;yes
29612;IMFSR25042000;30515;Item;yes
29613;IMFSR25028000;30515;Item;yes
29614;IMFSR20035000;30515;Item;yes
29616;IMFSR25015000;30515;Item;yes
29617;IMFSR20054000;30515;Item;yes
29618;IMFSR25018000;30515;Item;yes
29619;IMFSR20089000;30515;Item;yes
29620;IMFSR30018000;30515;Item;yes
29621;IMFSR20060000;30515;Item;yes
29622;IMFSR30035000;30515;Item;yes
29623;IMFSR20042000;30515;Item;yes
29624;IMFSR30054000;30515;Item;yes
29625;IMFSR30042000;30515;Item;yes
29626;IMFSR30022000;30515;Item;yes
29627;IMFSR30060000;30515;Item;yes
29628;IMFSR30064000;30515;Item;yes
29629;IMFSR40035000;30515;Item;yes
29630;IMFSR30168000;30515;Item;yes
29631;IMFSR40018000;30515;Item;yes
29632;IMFSR30159000;30515;Item;yes
29633;IMFSR40022000;30515;Item;yes
29634;IMFSR30219000;30515;Item;yes
29635;IMFSR30108000;30515;Item;yes
29636;IMFSR30133000;30515;Item;yes
29637;IMFSR40048000;30515;Item;yes
29638;IMFSR40042000;30515;Item;yes
29639;IMFSR30114000;30515;Item;yes
29640;IMFSR40015000;30515;Item;yes
29641;IMFSR50028000;30515;Item;yes
29642;IMFSR40028000;30515;Item;yes
29643;IMFSR30089000;30515;Item;yes
29644;IMFSR40114000;30515;Item;yes
29645;IMFSR50054000;30515;Item;yes
29646;IMFSR40054000;30515;Item;yes
29647;IMFSR50048000;30515;Item;yes
29648;IMFSR40108000;30515;Item;yes
29649;IMFSR40159000;30515;Item;yes
29650;IMFSR40089000;30515;Item;yes
29651;IMFSR40168000;30515;Item;yes
29652;IMFSR40076000;30515;Item;yes
29653;IMFSR40060000;30515;Item;yes
29654;IMFSR50042000;30515;Item;yes
29655;IMFSR40219000;30515;Item;yes
29656;IMFSR40133000;30515;Item;yes
29657;IMFSR40064000;30515;Item;yes
29658;IMFSR50035000;30515;Item;yes
29659;IMFSR50018000;30515;Item;yes
29660;IMFSR50022000;30515;Item;yes
29661;IMFSR50089000;30515;Item;yes
29662;IMFSR50076000;30515;Item;yes
29663;IMFSR50060000;30515;Item;yes
29664;IMFSR50219000;30515;Item;yes
29665;IMFSR50133000;30515;Item;yes
29666;IMFSR50159000;30515;Item;yes
29667;IMFSR60022000;30515;Item;yes
29668;IMFSR70064000;30515;Item;yes
29669;IMFSR60035000;30515;Item;yes
29670;IMFSR60159000;30515;Item;yes
29671;IMFSR60064000;30515;Item;yes
29672;IMFSR60048000;30515;Item;yes
29673;IMFSR60028000;30515;Item;yes
29674;IMFSR60076000;30515;Item;yes
